"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","￥6,000～￥7,999","￥2,000～￥2,999","フレンチ、イタリアン、その他肉料理","
                タワーレストラン ヨコハマ
              ","49","3.17","3.09","3.23"
"dict","￥5,000～￥5,999","￥3,000～￥3,999","四川料理","
                重慶飯店 横浜中華街 新館3F 
              ","18","3.31","3.20","3.22"
"dict","￥4,000～￥4,999","￥2,000～￥2,999","フレンチ、カフェ、ビアガーデン","
                山手十番館
              ","16","3.37","3.06","3.52"
"dict","￥3,000～￥3,999"," ～￥999","広東料理、中華料理、飲茶・点心","
                翡翠楼 新館
              ","36","3.11","3.07","3.17"
"dict","￥5,000～￥5,999","￥2,000～￥2,999","ブラジル料理、バイキング、居酒屋","
                トラヴェソ グリル
              ","68","3.56","3.55","3.24"
"dict","￥3,000～￥3,999","null","鉄板焼き、居酒屋、お好み焼き","
                ひじてつ 元町店
              ","4","3.02","3.03","-"
"dict","￥3,000～￥3,999"," ～￥999","四川料理、中華料理、飲茶・点心","
                福満園 本店
              ","117","3.38","3.23","3.35"
"dict","￥2,000～￥2,999"," ～￥999","四川料理、中華料理、バイキング","
                福満園 別館
              ","127","3.39","3.13","3.50"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","飲茶・点心、中華料理、四川料理","
                王府井レストラン
              ","39","3.36","3.09","3.32"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","北京料理、中華料理、飲茶・点心","
                慶華楼
              ","25","3.03","3.03","3.04"
"dict","￥5,000～￥5,999","￥3,000～￥3,999","うなぎ、和食（その他）、割烹・小料理","
                割烹蒲焼八十八 石川町店
              ","10","3.52","3.52","3.05"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","広東料理、飲茶・点心、バイキング","
                龍江飯店  大通り店
              ","13","3.00","-","3.00"
"dict","￥1,000～￥1,999"," ～￥999","中華料理、台湾料理、飲茶・点心","
                蓮香園 新館
              ","40","3.27","3.11","3.17"
"dict","￥5,000～￥5,999","￥1,000～￥1,999","四川料理、中華料理、飲茶・点心","
                重慶飯店 横浜中華街 新館1F
              ","226","3.57","3.46","3.58"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","中華料理、飲茶・点心、バイキング","
                王府井 酒家
              ","13","3.05","3.04","3.05"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、飲茶・点心、レストラン（その他）","
                天香樓
              ","39","3.08","3.08","3.07"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、上海料理、飲茶・点心","
                四五六菜館 本館
              ","215","3.56","3.56","3.56"
"dict","￥3,000～￥3,999","￥3,000～￥3,999","洋食、パフェ、パスタ","
                ザ・カフェ
              ","221","3.58","3.54","3.58"
"dict","￥4,000～￥4,999","null","居酒屋、鳥料理、和食（その他）","
                夢あかり
              ","8","3.00","3.00","-"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華料理、飲茶・点心、上海料理","
                香港酒家
              ","1","-","-","-"
"dict","￥6,000～￥7,999","null","馬肉料理、しゃぶしゃぶ、鍋（その他）","
                馬肉専門 桜馬
              ","2","-","-","-"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、四川料理、バイキング","
                福盛楼
              ","19","3.06","3.05","3.06"
"dict","￥4,000～￥4,999","￥3,000～￥3,999","割烹・小料理、懐石・会席料理、創作料理","
                SHIMOMURA
              ","86","3.58","3.54","3.55"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、バイキング、飲茶・点心","
                酔龍
              ","34","3.00","3.00","3.01"
"dict","￥2,000～￥2,999"," ～￥999","洋食、ステーキ、居酒屋","
                洋風レストラン Soleil
              ","19","3.07","3.00","3.08"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、広東料理、飲茶・点心","
                景珍樓 新館 大通り店
              ","9","3.18","-","3.34"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","ダイニングバー、ワインバー","
                ワールド・ワインバー 横浜元町店
              ","22","3.16","3.07","3.28"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","四川料理、広東料理、中華料理","
                萬福大飯店
              ","23","3.00","3.00","3.00"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","トルコ料理、居酒屋","
                ジェイハン
              ","22","3.51","3.50","3.32"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","ビストロ、フレンチ、ダイニングバー","
                ビストロ 山．海．葉っぱ
              ","5","3.05","-","3.06"
"dict","￥8,000～￥9,999","￥4,000～￥4,999","イタリアン、カフェ・喫茶（その他）","
                イル・ジャルディーノ
              ","41","3.52","3.50","3.51"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、広東料理、四川料理","
                熊猫飯店
              ","55","3.14","3.00","3.37"
"dict","￥10,000～￥14,999","￥5,000～￥5,999","フレンチ、洋食","
                パノラミックレストラン ル・ノルマンディ
              ","98","3.66","3.68","3.61"
"dict","￥6,000～￥7,999","￥3,000～￥3,999","フレンチ、洋食、モダンフレンチ","
                オートルモンド
              ","26","3.06","3.06","3.06"
"dict","￥3,000～￥3,999","￥2,000～￥2,999","中国鍋・火鍋、中華料理、広東料理","
                蒙古薬膳火鍋 小尾羊 横浜中華街店
              ","23","3.00","3.00","3.02"
"dict","￥3,000～￥3,999","null","ジンギスカン","
                すすきのジンギスカン 関内店
              ","16","3.10","3.10","3.00"
"dict","￥3,000～￥3,999"," ～￥999","広東料理、中華料理、飲茶・点心","
                茘香尊
              ","44","3.09","3.06","3.16"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","中華料理、広東料理、四川料理","
                廣翔記 本館
              ","65","3.08","3.09","3.00"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","焼肉、鉄板焼き","
                DOURAKU CORRIDA 新山下店
              ","1","-","-","-"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","広東料理、バイキング、飲茶・点心","
                横浜中華街 龍興飯店
              ","28","3.12","3.04","3.12"
"dict","￥2,000～￥2,999"," ～￥999","広東料理、飲茶・点心、中華料理","
                龍門新館
              ","20","3.00","3.00","3.00"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","広東料理、中華料理、四川料理","
                廣翔記 新館
              ","69","3.00","3.00","3.14"
"dict","￥3,000～￥3,999"," ～￥999","居酒屋、魚介料理・海鮮料理、しゃぶしゃぶ","
                北の味紀行と地酒 北海道 関内店
              ","8","3.02","3.02","3.00"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、飲茶・点心、上海料理","
                四五六菜館 新館
              ","93","3.34","3.08","3.33"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","中華料理、飲茶・点心、餃子","
                客満堂 三番館
              ","11","3.05","3.05","3.00"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、バイキング、飲茶・点心","
                萬金楼 別館
              ","7","3.03","-","3.04"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","ビストロ、フレンチ、ワインバー","
                ビストロ エルエラ
              ","40","3.39","3.21","3.42"
"dict","￥3,000～￥3,999"," ～￥999","広東料理、中華料理、飲茶・点心","
                横浜中華街 景珍樓
              ","53","3.00","3.08","3.00"
"dict","￥2,000～￥2,999","null","居酒屋、魚介料理・海鮮料理、鍋（その他）","
                だんまや水産 横浜元町店
              ","6","3.03","3.03","-"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","中華料理、飲茶・点心、バイキング","
                重慶茶樓
              ","65","3.31","3.26","3.15"
"dict","￥4,000～￥4,999","￥3,000～￥3,999","中華料理、飲茶・点心、バイキング","
                横浜大飯店
              ","317","3.57","3.53","3.54"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、飲茶・点心、居酒屋","
                心龍
              ","117","3.51","3.50","3.29"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、バイキング、飲茶・点心","
                小籠包専門店 萬源酒家
              ","5","3.03","3.02","3.04"
